Escola,Função,Nome
Escola Superior de Educação Jean Piaget Almada,Conselho Consultivo,Mestre Cláudia Maria Serpa Garcia – CTeSP de Serviço Social e Desenvolvimento Comunitário
Escola Superior de Educação Jean Piaget Almada,Conselho Consultivo,Professora Susana dos Santos Azinheira – CTeSP de Desporto Lazer e Bem-Estar
Escola Superior de Educação Jean Piaget Almada,Conselho Consultivo,Funcionário Dra. Maria de Fátima Brandão Ribeiro Graça
Escola Superior de Educação Jean Piaget Almada,Conselho Consultivo,Presidente da Associação Andreia Rainho
Escola Superior de Educação Jean Piaget Almada,Conselho Consultivo,Estudante Fabiana Dias – Licenciatura de Educação Básica
Escola Superior de Educação Jean Piaget Almada,Conselho Consultivo,Estudante Lyubov Sobklv – Mestrado de Educação Pré-Escolar e 1.º Ciclo do Ensino Básico
Escola Superior de Educação Jean Piaget Almada,Conselho Consultivo,Estudante Marisa Alexandra Almeida – Mestrado de Educação Pré-Escolar
Escola Superior de Educação Jean Piaget Almada,Conselho Consultivo,Estudante Ana Cláudia Moreira – Mestrado de Educação B-Learning
Escola Superior de Educação Jean Piaget Almada,Conselho Consultivo,Estudante Inês Sachim – CTeSP de Serviço Social e Desenvolvimento Comunitário
Escola Superior de Educação Jean Piaget Almada,Conselho Consultivo,Estudante André Cardoso – CTeSP de Desporto Lazer e Bem-Estar
Escola Superior de Educação Jean Piaget Almada,Conselho Disciplinar,Doutora Ana Cristina Cruz Gonçalves, (por inerência de funções)
Escola Superior de Educação Jean Piaget Almada,Conselho Disciplinar,Doutora Clementina Conceição Lobato Nogueira
Escola Superior de Educação Jean Piaget Almada,Conselho Disciplinar,Doutor João Carlos Sacadura de Sousa Paz
Escola Superior de Educação Jean Piaget Almada,Conselho Disciplinar,Doutora Marlene Vale da Silva
Escola Superior de Educação Jean Piaget Almada,Conselho Disciplinar,Funcionário Dra. Maria de Fátima Brandão Ribeiro Graça
Escola Superior de Educação Jean Piaget Almada,Conselho Disciplinar,Estudante Leonel Pã – CTeSP de Desporto Lazer e Bem-Estar
